Article,Total Words(m),Frequency(f),Relative Freq (f/m)
article1001.txt,139,2,0.014388489208633094
article1040.txt,83,1,0.012048192771084338
article1058.txt,226,1,0.004424778761061947
article1062.txt,115,1,0.008695652173913044
article1065.txt,117,1,0.008547008547008548
article1187.txt,79,1,0.012658227848101266
article1209.txt,649,1,0.0015408320493066256
article174.txt,180,1,0.005555555555555556
article214.txt,364,1,0.0027472527472527475
article223.txt,106,2,0.018867924528301886
article277.txt,188,3,0.015957446808510637
article310.txt,184,2,0.010869565217391304
article354.txt,648,1,0.0015432098765432098
article365.txt,413,2,0.004842615012106538
article531.txt,150,1,0.006666666666666667
article600.txt,209,1,0.004784688995215311
article639.txt,191,1,0.005235602094240838
article663.txt,429,1,0.002331002331002331
article766.txt,158,2,0.012658227848101266
article779.txt,251,2,0.00796812749003984
article780.txt,91,1,0.01098901098901099
